Photo #,Filename,Category ID,Category Name,Notes
1,Art Figures France 2020.jpg,1,People,
2,Atacama Volcanic Springs Chile 2017.jpg,3,Landscapes,
3,Badiyah Dune Oman 2010.jpg,3,Landscapes,
4,Balcony Havana Cuba 2010.jpg,5,Culture,
5,Berlin Cemetary Germany 2003.jpg,4,Symbols,
6,Berlin Clock Germany 2003.jpg,2,Architecture,
7,Berlin Traffic Box Germany 2003.jpg,2,Architecture,
8,Berlin Wall Germany 2003.jpg,5,Culture,
9,Bicycles Cochin India 2015.jpg,5,Culture,
10,Bicycles Florence Italy 1997.jpg,5,Culture,
11,Big Ben London UK 2000.jpg,2,Architecture,
12,Brancusi Sleeping Muse Paris France 2024.jpg,4,Symbols,
13,Bubble London South Bank UK 2013.jpg,4,Symbols,
14,Budapest Castle Hungary 2013.jpg,2,Architecture,
15,Cave Dwellings Oman 2014.jpg,3,Landscapes,
16,Cemetary Atacama Chile 2016.jpg,5,Culture,
17,Che Havana Facade Cuba 2014.jpg,2,Architecture,
18,Church Amorgos Greece 2022.jpg,4,Symbols,
19,Cliff Church Amorogos Greece 2022.jpg,2,Architecture,
20,Coliseum Arles France 2021.jpg,2,Architecture,
21,Dancing in Northern Greece 2022.jpg,1,People,
22,Djoser Tomb Egypt 2014.jpg,4,Symbols,
23,Elevators Heathrow UK 2024.jpg,1,People,
24,Farmer Burkina Faso 2015.jpg,1,People,
25,Fernand Leger Museum Biot France 2025.jpg,4,Symbols,
26,Giacometti Venice Italy 2013.jpg,4,Symbols,
27,Giant Buddah Kamakura Japan 2007.jpg,5,Culture,
28,Guggenheim New York USA 2022.jpg,2,Architecture,
29,Half Dome Yosemite USA 2015.jpg,3,Landscapes,
30,Halong Family Vietnam 2013.jpg,1,People,
31,Hamer Woman Omo Ethiopia 2014.jpg,1,People,
32,Hand of Buddha Kyoto Japan 2013.jpg,5,Culture,
33,Koi Kyoto Japan 2013.jpg,4,Symbols,
34,Lions Chauvet Cave France 2021.jpg,4,Symbols,
35,Lost City Trail Colombia 2024.jpg,1,People,
36,Meteora Monastery Greece 2020.jpg,3,Landscapes,
37,Monkey Temple Rajasthan India 2010.jpg,2,Architecture,
38,Musee D'Orsay Paris France 1995.jpg,4,Symbols,
39,Pere Lachaise Cemetary Paris Farnce 2003.jpg,1,People,
40,Priest Amorgos Greece 2022.jpg,1,People,
41,Reichstag Dome Berlin Germany 2003.jpg,2,Architecture,
42,Reichstag Mirrors Berlin Germany 2003.jpg,4,Symbols,
43,Rice Paddy Ubud 2022.jpg,2,Architecture,
44,Rock Carving Atacama Chile 2013.jpg,2,Architecture,Changed from None (Excel) to Architecture per user
45,Rodin Mural Bangkok Thailand 2024.jpg,5,Culture,
46,Rosetta Stone British Museum London UK 2015.jpg,5,Culture,
47,Teppanyaki Tokyo Japan 2023.jpg,4,Symbols,
48,Tokyo Station Japan 2023.jpg,5,Culture,
49,Van Gogh's Bedroom St Remy France 2020.jpg,3,Landscapes,
50,Venice Biennale Hand Italy 2018.jpg,5,Culture,
51,Venice Biennale Sculptures Italy 2018.jpg,4,Symbols,
52,Village Elder Tanzania 2015.jpg,4,Symbols,
53,Waterfall Yosemite USA 2016.jpg,1,People,
54,Womens Monument Boston USA 2022.jpg,2,Architecture,Changed from Landscapes to Architecture per user
